name,type,lat,long,color
Hogan,Hogan,60.19668,-147.75696,red
Stockdale,Fitness Stream,60.31813,-147.20182,orange
Erb,Fitness Stream,60.37696,-148.15139,orange
Paddy,Fitness Stream,60.39903,-148.10238,orange
Gilmour,Fitness Stream,60.25355,-147.24503,orange
AFK,Hatchery,60.050317,-148.0644,green
WHN,Hatchery,60.792705,-148.086247,green
Cannery Creek,Hatchery,61.01784,-147.508735,green
VFDA,Hatchery,61.09732,-146.32586,green
Cordova,City,60.52433,-145.75212,blue
Whittier,City,60.77319,-148.68479,blue
