Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2,Posterior Parent 1,Posterior Parent 2
PH15_00001,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00004,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00006,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00013,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00014,294,,,,,0.000000E+000,1.0000,294,0,411,352,,,1.0000,1.0000,<
PH15_00015,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00016,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00017,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00018,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00019,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00020,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00021,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00022,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00024,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00025,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00027,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00028,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00029,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00031,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00032,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00034,289,,,,,0.000000E+000,1.0000,289,0,411,352,,,1.0000,1.0000,<
PH15_00035,245,,,,,0.000000E+000,1.0000,245,0,411,352,,,1.0000,1.0000,<
PH15_00036,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00037,287,,,,,0.000000E+000,1.0000,287,0,411,352,,,1.0000,1.0000,<
PH15_00038,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00039,297,,,,,0.000000E+000,1.0000,297,0,411,352,,,1.0000,1.0000,<
PH15_00040,290,,,,,0.000000E+000,1.0000,290,0,411,352,,,1.0000,1.0000,<
PH15_00041,285,,,,,0.000000E+000,1.0000,285,0,411,352,,,1.0000,1.0000,<
PH15_00043,289,,,,,0.000000E+000,1.0000,289,0,411,352,,,1.0000,1.0000,<
PH15_00044,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00045,297,PH13_00037,294,,,3.604415E+001,1.0000,297,0,411,352,3.702270E+001,,1.0000,1.0000,<
PH15_00046,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00048,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00049,286,,,,,0.000000E+000,1.0000,286,0,411,352,,,1.0000,1.0000,<
PH15_00050,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00051,292,,,,,0.000000E+000,1.0000,292,0,411,352,,,1.0000,1.0000,<
PH15_00052,295,,,,,0.000000E+000,1.0000,295,0,411,352,,,1.0000,1.0000,<
PH15_00054,290,,,,,0.000000E+000,1.0000,290,0,411,352,,,1.0000,1.0000,<
PH15_00055,298,,,,,0.000000E+000,1.0000,298,0,411,352,,,1.0000,1.0000,<
PH15_00056,296,,,,,0.000000E+000,1.0000,296,0,411,352,,,1.0000,1.0000,<
PH15_00057,279,,,,,0.000000E+000,1.0000,279,0,411,352,,,1.0000,1.0000,<
PH15_00058,284,,,,,0.000000E+000,1.0000,284,0,411,352,,,1.0000,1.0000,<
