variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),-429.83040887117505,343.1037903492837,-1.2527707969463193,0.21028913236587465,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,735.0592007256728,236.78088787479177,364,252.09919856510484,368,6,0.2469397081763161,0
`Sample Date`,0.02619215978105522,0.021042460037356343,1.2447289781972593,0.21323139027818044,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,735.0592007256728,236.78088787479177,364,252.09919856510484,368,6,0.2469397081763161,0
`Length Mm`,0.00622992534635431,0.006188341298914854,1.006719740465308,0.31406947300960736,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,735.0592007256728,236.78088787479177,364,252.09919856510484,368,6,0.2469397081763161,0
originHatchery,-0.8748933733638063,0.2655763204419635,-3.294319960107276,9.866012473667247e-4,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,735.0592007256728,236.78088787479177,364,252.09919856510484,368,6,0.2469397081763161,0
IntertidalUpstream,-0.5345437255862974,0.29863226413879485,-1.7899731200439157,0.07345823272901489,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,735.0592007256728,236.78088787479177,364,252.09919856510484,368,6,0.2469397081763161,0
(Intercept),-494.40532698196876,343.01542008344137,-1.441350149394743,0.14948578610085347,RS.glm.F.2,n ~ `Sample Date` + `Length Mm` + origin,736.2308525036324,236.29888088628715,365,248.17953385633047,368,5,0.13745798701010964,1.171651777959596
`Sample Date`,0.03014375762509073,0.021037192707587103,1.432879284041512,0.15189233841491587,RS.glm.F.2,n ~ `Sample Date` + `Length Mm` + origin,736.2308525036324,236.29888088628715,365,248.17953385633047,368,5,0.13745798701010964,1.171651777959596
`Length Mm`,0.006323910036368072,0.006246667065670687,1.0123654694391964,0.31136334221751694,RS.glm.F.2,n ~ `Sample Date` + `Length Mm` + origin,736.2308525036324,236.29888088628715,365,248.17953385633047,368,5,0.13745798701010964,1.171651777959596
originHatchery,-0.9289775475091603,0.2655723723815357,-3.4980202917137055,4.687254687244972e-4,RS.glm.F.2,n ~ `Sample Date` + `Length Mm` + origin,736.2308525036324,236.29888088628715,365,248.17953385633047,368,5,0.13745798701010964,1.171651777959596
(Intercept),-2.3706974495259003,2.693739038834827,-0.8800768802576149,0.3788176627784188,RS.glm.F.3,n ~ `Length Mm` + origin,736.2697422310322,236.83379837512263,366,246.58487721560255,368,4,0.1348109541881193,1.2105415053594015
`Length Mm`,0.005437589894004604,0.00617971988728454,0.8799087973539139,0.37890871855798613,RS.glm.F.3,n ~ `Length Mm` + origin,736.2697422310322,236.83379837512263,366,246.58487721560255,368,4,0.1348109541881193,1.2105415053594015
originHatchery,-0.7940592667015433,0.2634198941906226,-3.0144240591294365,0.0025746765807025227,RS.glm.F.3,n ~ `Length Mm` + origin,736.2697422310322,236.83379837512263,366,246.58487721560255,368,4,0.1348109541881193,1.2105415053594015
(Intercept),-434.4294901812423,345.66067782107797,-1.2568091138388415,0.20882276506841432,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,736.8448515988606,236.3756596311848,364,249.74100063124453,368,6,0.10112109648923531,1.7856508731878193
`Sample Date`,0.02647481366621214,0.021197849325220102,1.2489386663728088,0.21168750778376533,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,736.8448515988606,236.3756596311848,364,249.74100063124453,368,6,0.10112109648923531,1.7856508731878193
`Length Mm`,0.0072852137519990486,0.006262098149218264,1.1633822368160271,0.24467445326452542,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,736.8448515988606,236.3756596311848,364,249.74100063124453,368,6,0.10112109648923531,1.7856508731878193
originHatchery,-0.8864632119324016,0.2668567883086848,-3.321868698003632,8.941676049987593e-4,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,736.8448515988606,236.3756596311848,364,249.74100063124453,368,6,0.10112109648923531,1.7856508731878193
Distance,-0.0016334578006763952,0.0012536350306023587,-1.3029771510864177,0.19258256233652096,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,736.8448515988606,236.3756596311848,364,249.74100063124453,368,6,0.10112109648923531,1.7856508731878193
(Intercept),0.07148855472069475,0.2166066298205731,0.33003862707209175,0.7413707756367823,RS.glm.F.23,n ~ Intertidal + origin,737.6544658409043,238.11385260306454,373,250.984610119428,375,4,0.06745843650647863,2.595265115231541
IntertidalUpstream,-0.5928648053370514,0.2951730610452399,-2.0085329035029575,0.044586693198231137,RS.glm.F.23,n ~ Intertidal + origin,737.6544658409043,238.11385260306454,373,250.984610119428,375,4,0.06745843650647863,2.595265115231541
originHatchery,-0.713987370151202,0.2579910540374713,-2.7674888682283556,0.005648997461624553,RS.glm.F.23,n ~ Intertidal + origin,737.6544658409043,238.11385260306454,373,250.984610119428,375,4,0.06745843650647863,2.595265115231541
(Intercept),-4.4279778932805876,4.658623605269995,-0.950490588737735,0.34186303368322707,RS.glm.F.16,n ~ `Length Mm` * origin,738.05764410392635,236.85076050748086,365,246.82704658187686,368,5,0.05514259801852977,2.998443378253569
`Length Mm`,0.010165493862118595,0.010698542146365788,0.9501756148683991,0.34202302696503617,RS.glm.F.16,n ~ `Length Mm` * origin,738.05764410392635,236.85076050748086,365,246.82704658187686,368,5,0.05514259801852977,2.998443378253569
originHatchery,2.127343798598116,5.744034272285972,0.37035708663198663,0.711116443931034,RS.glm.F.16,n ~ `Length Mm` * origin,738.05764410392635,236.85076050748086,365,246.82704658187686,368,5,0.05514259801852977,2.998443378253569
`Length Mm`:originHatchery,-0.006681649504524936,0.013116346711640867,-0.5094139131435826,0.610462126075034,RS.glm.F.16,n ~ `Length Mm` * origin,738.05764410392635,236.85076050748086,365,246.82704658187686,368,5,0.05514259801852977,2.998443378253569
(Intercept),377.47529316975573,535.7135744950742,0.70462148271217,0.48104582576124794,RS.glm.F.15,n ~ `Sample Date` * origin,738.0962614107241,238.66265415698956,372,253.25288521041708,375,5,0.05408808210918369,3.0370606850513013
`Sample Date`,-0.023144603685413753,0.032843841181302014,-0.70468626241531,0.4810055023413788,RS.glm.F.15,n ~ `Sample Date` * origin,738.0962614107241,238.66265415698956,372,253.25288521041708,375,5,0.05408808210918369,3.0370606850513013
originHatchery,-1361.3565168264217,696.912379215153,-1.9534113002262217,0.05077087829417975,RS.glm.F.15,n ~ `Sample Date` * origin,738.0962614107241,238.66265415698956,372,253.25288521041708,375,5,0.05408808210918369,3.0370606850513013
`Sample Date`:originHatchery,0.08340504997059654,0.04272331977464177,1.9522136952499,0.0509128388833708,RS.glm.F.15,n ~ `Sample Date` * origin,738.0962614107241,238.66265415698956,372,253.25288521041708,375,5,0.05408808210918369,3.0370606850513013
(Intercept),-392.572686150524,342.1826452096481,-1.147260656395952,0.2512739092770518,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,738.3543516961398,237.9181546245758,372,252.17086842590746,375,5,0.047539869893365075,3.2951509704670343
`Sample Date`,0.0240730576828851,0.020977851926916813,1.147546363028562,0.25115588306148096,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,738.3543516961398,237.9181546245758,372,252.17086842590746,375,5,0.047539869893365075,3.2951509704670343
IntertidalUpstream,-0.5617468104876538,0.297377642244849,-1.8890014940166002,0.058891628515137705,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,738.3543516961398,237.9181546245758,372,252.17086842590746,375,5,0.047539869893365075,3.2951509704670343
originHatchery,-0.8138052259496127,0.2625105664830804,-3.1000855959909135,0.001934647247400576,RS.glm.F.22,n ~ `Sample Date` + Intertidal + origin,738.3543516961398,237.9181546245758,372,252.17086842590746,375,5,0.047539869893365075,3.2951509704670343
(Intercept),0.0346855579878958,0.23186783451686457,0.14959193481997604,0.8810865716622844,RS.glm.F.24,n ~ Intertidal * origin,739.4631250172384,238.15772763804125,372,251.23676149744676,375,5,0.027308064584604108,4.403924291565659
IntertidalUpstream,-0.3913605019266186,0.5526185424576174,-0.7081928524984911,0.478825504153532,RS.glm.F.24,n ~ Intertidal * origin,739.4631250172384,238.15772763804125,372,251.23676149744676,375,5,0.027308064584604108,4.403924291565659
originHatchery,-0.6581528179098542,0.28627780811389314,-2.299000478751793,0.021504912125874815,RS.glm.F.24,n ~ Intertidal * origin,739.4631250172384,238.15772763804125,372,251.23676149744676,375,5,0.027308064584604108,4.403924291565659
IntertidalUpstream:originHatchery,-0.2844552222816832,0.6542191871934708,-0.4348011000746786,0.6637068063551197,RS.glm.F.24,n ~ Intertidal * origin,739.4631250172384,238.15772763804125,372,251.23676149744676,375,5,0.027308064584604108,4.403924291565659
(Intercept),-0.028987536873246754,0.21328427922115537,-0.13591033047114295,0.8918921687227801,RS.glm.F.4,n ~ origin,739.6047629314536,237.5652323075218,374,246.21286530819478,375,3,0.025441027008524564,4.545562205780811
originHatchery,-0.7448175467041577,0.2594551296811551,-2.870698866580381,0.004095654849212595,RS.glm.F.4,n ~ origin,739.6047629314536,237.5652323075218,374,246.21286530819478,375,3,0.025441027008524564,4.545562205780811
(Intercept),0.5948071996867341,0.46905740377724514,1.2680904189910356,0.20476566262868517,RS.glm.F.13,n ~ Distance + origin,739.8105915267496,237.63920016700672,373,248.182559598918,375,4,0.022953003739576483,4.751390801076809
Distance,-0.0018241360622781371,0.0012276157877477824,-1.4859177280741453,0.1373008837901031,RS.glm.F.13,n ~ Distance + origin,739.8105915267496,237.63920016700672,373,248.182559598918,375,4,0.022953003739576483,4.751390801076809
