variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),-3.8349097005510386,2.0477527719437014,-1.8727405735170803,0.06110421767717056,RS.glm.M.9,n ~ `Length Mm` + Distance,651.8739715763726,190.52028845998572,266,199.27998014966627,268,4,0.34301724975618747,0
`Length Mm`,0.010826953022133667,0.004721063084076509,2.2933294534130413,0.02182904476525196,RS.glm.M.9,n ~ `Length Mm` + Distance,651.8739715763726,190.52028845998572,266,199.27998014966627,268,4,0.34301724975618747,0
Distance,-0.0028380172052501146,0.0014714378346801483,-1.9287374147661662,0.05376346890666022,RS.glm.M.9,n ~ `Length Mm` + Distance,651.8739715763726,190.52028845998572,266,199.27998014966627,268,4,0.34301724975618747,0
(Intercept),-4.358502985097401,2.042239610502204,-2.1341780673941626,0.032828207348450766,RS.glm.M.5,n ~ `Length Mm`,653.7833379302936,189.61399323784684,267,194.23188989869718,268,3,0.13203902987799312,1.9093663539209729
`Length Mm`,0.009852035193289888,0.0047324468126702865,2.081805793762502,0.03736021233939947,RS.glm.M.5,n ~ `Length Mm`,653.7833379302936,189.61399323784684,267,194.23188989869718,268,3,0.13203902987799312,1.9093663539209729
(Intercept),105.91438966377821,355.9164052829053,0.2975822077647436,0.7660220558295665,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,653.7927074512387,190.56473998660488,265,199.41369299804762,268,5,0.1314219053190223,1.9187358748661154
`Sample Date`,-0.006749008402067141,0.021874444247838302,-0.3085339369357509,0.7576760809675246,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,653.7927074512387,190.56473998660488,265,199.41369299804762,268,5,0.1314219053190223,1.9187358748661154
`Length Mm`,0.011615684609760955,0.005241529791013912,2.216086729045193,0.02668556294968948,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,653.7927074512387,190.56473998660488,265,199.41369299804762,268,5,0.1314219053190223,1.9187358748661154
Distance,-0.002837879930178721,0.0014879716971207386,-1.9072136490701321,0.05649292672025506,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,653.7927074512387,190.56473998660488,265,199.41369299804762,268,5,0.1314219053190223,1.9187358748661154
(Intercept),-5.047988386692244,2.0793378131416507,-2.427690370842287,0.01519530975904967,RS.glm.M.3,n ~ `Length Mm` + origin,654.0935346980482,189.85274135189033,266,196.23634659312805,268,4,0.11306910448358408,2.2195631216756055
`Length Mm`,0.011966873825059964,0.004922923637559188,2.4308469328590285,0.015063576865903254,RS.glm.M.3,n ~ `Length Mm` + origin,654.0935346980482,189.85274135189033,266,196.23634659312805,268,4,0.11306910448358408,2.2195631216756055
originHatchery,-0.38029526618633774,0.28929683445163884,-1.3145503887285395,0.1886610528381372,RS.glm.M.3,n ~ `Length Mm` + origin,654.0935346980482,189.85274135189033,266,196.23634659312805,268,4,0.11306910448358408,2.2195631216756055
(Intercept),48.26433116652891,375.02549804703847,0.12869613244397382,0.8975980958232302,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,655.3322651244563,190.75105430562127,264,200.10316355982602,268,6,0.06086351891890669,3.4582935480837023
`Sample Date`,-0.003232886686371523,0.02303891103106483,-0.14032289468944154,0.8884048759405805,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,655.3322651244563,190.75105430562127,264,200.10316355982602,268,6,0.06086351891890669,3.4582935480837023
`Length Mm`,0.01233659561339882,0.0052644982386344675,2.3433563948914435,0.019111117742823664,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,655.3322651244563,190.75105430562127,264,200.10316355982602,268,6,0.06086351891890669,3.4582935480837023
originHatchery,-0.21467231974145567,0.30436398367329703,-0.7053144631326813,0.48061456174837874,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,655.3322651244563,190.75105430562127,264,200.10316355982602,268,6,0.06086351891890669,3.4582935480837023
Distance,-0.0025065041595408177,0.0014997238039222325,-1.671310512632759,0.09466036104606516,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,655.3322651244563,190.75105430562127,264,200.10316355982602,268,6,0.06086351891890669,3.4582935480837023
(Intercept),-4.476070757279948,2.0520159830651568,-2.181304041596162,0.029160935693456933,RS.glm.M.20,n ~ `Length Mm` + Intertidal,655.4396372402181,189.69594612993183,266,194.67234278544424,268,4,0.057682157955085425,3.5656656638454933
`Length Mm`,0.010205858220236308,0.004772697820789365,2.1383834894764706,0.03248563138132313,RS.glm.M.20,n ~ `Length Mm` + Intertidal,655.4396372402181,189.69594612993183,266,194.67234278544424,268,4,0.057682157955085425,3.5656656638454933
IntertidalUpstream,-0.21756551604416366,0.3666454270318617,-0.5933948714578051,0.552916920300782,RS.glm.M.20,n ~ `Length Mm` + Intertidal,655.4396372402181,189.69594612993183,266,194.67234278544424,268,4,0.057682157955085425,3.5656656638454933
(Intercept),-3.914269804618867,2.8772824877189245,-1.3604051118811258,0.17370176172159546,RS.glm.M.16,n ~ `Length Mm` * origin,655.678755173397,189.80781274412942,265,196.62336177749734,268,5,0.05118205274260079,3.804783597024425
`Length Mm`,0.009260535250241035,0.006839518523244751,1.3539747306434262,0.17574443970462203,RS.glm.M.16,n ~ `Length Mm` * origin,655.678755173397,189.80781274412942,265,196.62336177749734,268,5,0.05118205274260079,3.804783597024425
originHatchery,-3.1232618054269716,4.241999289806812,-0.7362711759362907,0.4615656840617248,RS.glm.M.16,n ~ `Length Mm` * origin,655.678755173397,189.80781274412942,265,196.62336177749734,268,5,0.05118205274260079,3.804783597024425
`Length Mm`:originHatchery,0.006376709648485066,0.009859324141240841,0.646769449622997,0.5177811674136057,RS.glm.M.16,n ~ `Length Mm` * origin,655.678755173397,189.80781274412942,265,196.62336177749734,268,5,0.05118205274260079,3.804783597024425
(Intercept),9.712348185787121,371.697036224882,0.02612974341799974,0.9791538533406715,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,656.0921550278773,189.8451733446466,265,196.22987823279558,268,5,0.041624503112136974,4.2181834515047285
`Sample Date`,-9.074337182386317e-4,0.02283793732118835,-0.039733611029606514,0.968305505099857,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,656.0921550278773,189.8451733446466,265,196.22987823279558,268,5,0.041624503112136974,4.2181834515047285
`Length Mm`,0.012060470368611485,0.00524877426566173,2.2977689186431385,0.021574944654731996,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,656.0921550278773,189.8451733446466,265,196.22987823279558,268,5,0.041624503112136974,4.2181834515047285
originHatchery,-0.37805234165976354,0.30330405237687025,-1.246446721358061,0.2126004376649579,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,656.0921550278773,189.8451733446466,265,196.22987823279558,268,5,0.041624503112136974,4.2181834515047285
