variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),-4.32274739507522,1.6701868725819302,-2.588181877152893,0.009648402185597538,RS.glm.59,n ~ `Length Mm` + SEX + Distance + origin,1384.4996588476513,426.6056497431753,633,449.5773221315144,637,6,0.12716574845428827,0
`Length Mm`,0.011125478755753739,0.0038349426260993794,2.9010808871134937,0.003718778718930552,RS.glm.59,n ~ `Length Mm` + SEX + Distance + origin,1384.4996588476513,426.6056497431753,633,449.5773221315144,637,6,0.12716574845428827,0
SEXM,0.41744596814781865,0.18555527854384554,2.2497121689220974,0.024467222543948917,RS.glm.59,n ~ `Length Mm` + SEX + Distance + origin,1384.4996588476513,426.6056497431753,633,449.5773221315144,637,6,0.12716574845428827,0
Distance,-0.0020449748559288865,9.534291699829765e-4,-2.144862901525658,0.03196381017241228,RS.glm.59,n ~ `Length Mm` + SEX + Distance + origin,1384.4996588476513,426.6056497431753,633,449.5773221315144,637,6,0.12716574845428827,0
originHatchery,-0.53484461289145,0.1962908361533467,-2.7247558947357975,0.006434904332568636,RS.glm.59,n ~ `Length Mm` + SEX + Distance + origin,1384.4996588476513,426.6056497431753,633,449.5773221315144,637,6,0.12716574845428827,0
(Intercept),-7.5224756372545425,3.755191355576876,-2.0032203222035094,0.045153645301675156,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,1385.6028022438365,426.38248474859574,632,450.3004560355068,637,7,0.07325303228295857,1.10314339618526
`Length Mm`,0.010275323214075838,0.00394631889682804,2.6037741709963953,0.009220348800653482,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,1385.6028022438365,426.38248474859574,632,450.3004560355068,637,7,0.07325303228295857,1.10314339618526
SEXM,0.4269722849288819,0.1853736398115778,2.303306367414892,0.0212616116395449,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,1385.6028022438365,426.38248474859574,632,450.3004560355068,637,7,0.07325303228295857,1.10314339618526
Distance,-0.00193050198957874,9.65090031841405e-4,-2.0003335708434538,0.04546425628497374,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,1385.6028022438365,426.38248474859574,632,450.3004560355068,637,7,0.07325303228295857,1.10314339618526
Julian,0.014693380203143624,0.015414127059345022,0.9532411499252281,0.34046790136831,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,1385.6028022438365,426.38248474859574,632,450.3004560355068,637,7,0.07325303228295857,1.10314339618526
originHatchery,-0.5926600745405183,0.20205165505651562,-2.9332106899829453,0.0033547615005252106,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,1385.6028022438365,426.38248474859574,632,450.3004560355068,637,7,0.07325303228295857,1.10314339618526
(Intercept),-17.093717348261645,18.924516677873548,-0.9032578025227739,0.3663890865073712,RS.glm.6,n ~ I(`Length Mm`^2) + `Length Mm` + SEX + Distance + origin,1386.0693772946847,426.65627003559376,632,450.0933885987165,637,7,0.05801096926775857,1.5697184470334378
I(`Length Mm`^2),-6.940150749256861e-5,1.0197871791864268e-4,-0.6805489312773695,0.4961569502883705,RS.glm.6,n ~ I(`Length Mm`^2) + `Length Mm` + SEX + Distance + origin,1386.0693772946847,426.65627003559376,632,450.0933885987165,637,7,0.05801096926775857,1.5697184470334378
`Length Mm`,0.07072715075452465,0.08788865285782216,0.8047358612828014,0.42097212066922723,RS.glm.6,n ~ I(`Length Mm`^2) + `Length Mm` + SEX + Distance + origin,1386.0693772946847,426.65627003559376,632,450.0933885987165,637,7,0.05801096926775857,1.5697184470334378
SEXM,0.4477196604543059,0.18806206033018166,2.380701666610702,0.017279699884053385,RS.glm.6,n ~ I(`Length Mm`^2) + `Length Mm` + SEX + Distance + origin,1386.0693772946847,426.65627003559376,632,450.0933885987165,637,7,0.05801096926775857,1.5697184470334378
Distance,-0.002003332919617798,9.525009695121948e-4,-2.1032345202165694,0.03544527411379207,RS.glm.6,n ~ I(`Length Mm`^2) + `Length Mm` + SEX + Distance + origin,1386.0693772946847,426.65627003559376,632,450.0933885987165,637,7,0.05801096926775857,1.5697184470334378
originHatchery,-0.549061256526938,0.19639823252156002,-2.795652738202029,0.005179502083884943,RS.glm.6,n ~ I(`Length Mm`^2) + `Length Mm` + SEX + Distance + origin,1386.0693772946847,426.65627003559376,632,450.0933885987165,637,7,0.05801096926775857,1.5697184470334378
