franz_id,SILLY,Fish ID,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,Sex,date,DOY
PH14_00002,PHOGAN14,2,1400000729,2,2014,2014-08-22,M,410,YES,AFK12B,Hatchery,Male,2014-08-22,234
PH14_00003,PHOGAN14,3,1400000729,3,2014,2014-08-22,M,420,NO,NA,Natural,Male,2014-08-22,234
PH14_00007,PHOGAN14,7,1400000729,7,2014,2014-08-22,M,380,NO,NA,Natural,Male,2014-08-22,234
PH14_00009,PHOGAN14,9,1400000729,9,2014,2014-08-22,M,410,NO,NA,Natural,Male,2014-08-22,234
PH14_00010,PHOGAN14,10,1400000729,10,2014,2014-08-22,M,425,NO,NA,Natural,Male,2014-08-22,234
PH14_00011,PHOGAN14,11,1400000746,1,2014,2014-08-28,M,425,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00012,PHOGAN14,12,1400000746,2,2014,2014-08-28,F,410,NO,NA,Natural,Female,2014-08-28,240
PH14_00018,PHOGAN14,18,1400000746,8,2014,2014-08-28,F,435,NO,NA,Natural,Female,2014-08-28,240
PH14_00020,PHOGAN14,20,1400000746,10,2014,2014-08-28,M,400,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00040,PHOGAN14,40,1400000746,30,2014,2014-08-28,F,435,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00042,PHOGAN14,42,1400000746,32,2014,2014-08-28,M,405,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00044,PHOGAN14,44,1400000746,34,2014,2014-08-28,F,445,NO,NA,Natural,Female,2014-08-28,240
PH14_00048,PHOGAN14,48,1400000746,38,2014,2014-08-28,M,345,NO,NA,Natural,Male,2014-08-28,240
PH14_00050,PHOGAN14,50,1400000746,40,2014,2014-08-28,F,410,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00057,PHOGAN14,57,1400000744,5,2014,2014-08-28,F,420,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00061,PHOGAN14,61,1400000744,9,2014,2014-08-28,M,390,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00062,PHOGAN14,62,1400000744,10,2014,2014-08-28,F,440,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00066,PHOGAN14,66,1400000744,14,2014,2014-08-28,F,440,NO,NA,Natural,Female,2014-08-28,240
PH14_00073,PHOGAN14,73,1400000744,21,2014,2014-08-28,M,435,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00076,PHOGAN14,76,1400000744,24,2014,2014-08-28,M,445,NO,NA,Natural,Male,2014-08-28,240
PH14_00078,PHOGAN14,78,1400000744,26,2014,2014-08-28,M,445,NO,NA,Natural,Male,2014-08-28,240
PH14_00080,PHOGAN14,80,1400000744,28,2014,2014-08-28,F,475,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00083,PHOGAN14,83,1400000744,31,2014,2014-08-28,F,465,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00095,PHOGAN14,95,1400000744,43,2014,2014-08-28,F,455,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00096,PHOGAN14,96,1400000744,44,2014,2014-08-28,F,445,NO,NA,Natural,Female,2014-08-28,240
PH14_00097,PHOGAN14,97,1400000744,45,2014,2014-08-28,F,445,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00101,PHOGAN14,101,1400000745,1,2014,2014-08-28,M,450,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00106,PHOGAN14,106,1400000745,6,2014,2014-08-28,M,385,NO,NA,Natural,Male,2014-08-28,240
PH14_00107,PHOGAN14,107,1400000745,7,2014,2014-08-28,F,445,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00110,PHOGAN14,110,1400000745,10,2014,2014-08-28,M,385,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00113,PHOGAN14,113,1400000745,13,2014,2014-08-28,F,460,NO,NA,Natural,Female,2014-08-28,240
PH14_00118,PHOGAN14,118,1400000745,18,2014,2014-08-28,M,425,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00131,PHOGAN14,131,1400000745,31,2014,2014-08-28,M,440,YES,CCH12,Hatchery,Male,2014-08-28,240
PH14_00139,PHOGAN14,139,1400000745,39,2014,2014-08-28,M,405,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00149,PHOGAN14,149,1400000740,1,2014,2014-08-28,F,460,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00150,PHOGAN14,150,1400000740,2,2014,2014-08-28,M,430,NO,NA,Natural,Male,2014-08-28,240
PH14_00151,PHOGAN14,151,1400000740,3,2014,2014-08-28,M,385,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00153,PHOGAN14,153,1400000740,5,2014,2014-08-28,F,430,NO,NA,Natural,Female,2014-08-28,240
PH14_00159,PHOGAN14,159,1400000740,11,2014,2014-08-28,F,450,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00160,PHOGAN14,160,1400000740,12,2014,2014-08-28,M,415,NO,NA,Natural,Male,2014-08-28,240
PH14_00170,PHOGAN14,170,1400000740,22,2014,2014-08-28,F,430,NO,NA,Natural,Female,2014-08-28,240
PH14_00177,PHOGAN14,177,1400000740,29,2014,2014-08-28,F,425,NO,NA,Natural,Female,2014-08-28,240
PH14_00179,PHOGAN14,179,1400000740,31,2014,2014-08-28,F,420,NO,NA,Natural,Female,2014-08-28,240
PH14_00180,PHOGAN14,180,1400000740,32,2014,2014-08-28,M,400,NO,NA,Natural,Male,2014-08-28,240
PH14_00187,PHOGAN14,187,1400000740,39,2014,2014-08-28,F,385,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00189,PHOGAN14,189,1400000740,41,2014,2014-08-28,M,420,YES,WNH12PINKB,Hatchery,Male,2014-08-28,240
PH14_00196,PHOGAN14,196,1400000740,48,2014,2014-08-28,M,460,NO,NA,Natural,Male,2014-08-28,240
PH14_00197,PHOGAN14,197,1400000742,1,2014,2014-08-28,F,425,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00198,PHOGAN14,198,1400000742,2,2014,2014-08-28,M,365,NO,NA,Natural,Male,2014-08-28,240
PH14_00199,PHOGAN14,199,1400000742,3,2014,2014-08-28,M,410,NO,NA,Natural,Male,2014-08-28,240
PH14_00200,PHOGAN14,200,1400000742,4,2014,2014-08-28,F,445,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00201,PHOGAN14,201,1400000742,5,2014,2014-08-28,F,435,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00202,PHOGAN14,202,1400000742,6,2014,2014-08-28,F,430,NO,NA,Natural,Female,2014-08-28,240
PH14_00213,PHOGAN14,213,1400000742,17,2014,2014-08-28,F,450,NO,NA,Natural,Female,2014-08-28,240
PH14_00215,PHOGAN14,215,1400000742,19,2014,2014-08-28,F,415,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00219,PHOGAN14,219,1400000742,23,2014,2014-08-28,M,415,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00221,PHOGAN14,221,1400000742,25,2014,2014-08-28,F,455,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00228,PHOGAN14,228,1400000742,32,2014,2014-08-28,M,390,NO,NA,Natural,Male,2014-08-28,240
PH14_00230,PHOGAN14,230,1400000742,34,2014,2014-08-28,F,435,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00233,PHOGAN14,233,1400000742,37,2014,2014-08-28,M,435,YES,AFK12B,Hatchery,Male,2014-08-28,240
PH14_00235,PHOGAN14,235,1400000742,39,2014,2014-08-28,F,435,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00237,PHOGAN14,237,1400000742,41,2014,2014-08-28,M,445,NO,NA,Natural,Male,2014-08-28,240
PH14_00240,PHOGAN14,240,1400000742,44,2014,2014-08-28,F,410,NO,NA,Natural,Female,2014-08-28,240
PH14_00241,PHOGAN14,241,1400000742,45,2014,2014-08-28,F,420,NO,NA,Natural,Female,2014-08-28,240
PH14_00243,PHOGAN14,243,1400000742,47,2014,2014-08-28,F,465,NO,NA,Natural,Female,2014-08-28,240
PH14_00246,PHOGAN14,246,1400000743,2,2014,2014-08-28,F,415,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240
PH14_00250,PHOGAN14,250,1400000743,6,2014,2014-08-28,F,450,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00259,PHOGAN14,259,1400000743,15,2014,2014-08-28,M,405,NO,NA,Natural,Male,2014-08-28,240
PH14_00263,PHOGAN14,263,1400000743,19,2014,2014-08-28,F,450,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00264,PHOGAN14,264,1400000743,20,2014,2014-08-28,F,480,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00269,PHOGAN14,269,1400000743,25,2014,2014-08-28,F,435,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00270,PHOGAN14,270,1400000743,26,2014,2014-08-28,M,460,NO,NA,Natural,Male,2014-08-28,240
PH14_00271,PHOGAN14,271,1400000743,27,2014,2014-08-28,F,400,NO,NA,Natural,Female,2014-08-28,240
PH14_00278,PHOGAN14,278,1400000743,34,2014,2014-08-28,F,435,NO,NA,Natural,Female,2014-08-28,240
PH14_00279,PHOGAN14,279,1400000743,35,2014,2014-08-28,F,415,YES,AFK12B,Hatchery,Female,2014-08-28,240
PH14_00282,PHOGAN14,282,1400000743,38,2014,2014-08-28,M,420,NO,NA,Natural,Male,2014-08-28,240
PH14_00294,PHOGAN14,294,1400000737,2,2014,2014-08-27,F,450,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00297,PHOGAN14,297,1400000737,5,2014,2014-08-27,M,440,NO,NA,Natural,Male,2014-08-27,239
PH14_00305,PHOGAN14,305,1400000737,13,2014,2014-08-27,F,440,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00306,PHOGAN14,306,1400000737,14,2014,2014-08-27,M,445,YES,AFK12B,Hatchery,Male,2014-08-27,239
PH14_00307,PHOGAN14,307,1400000737,15,2014,2014-08-27,F,430,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00310,PHOGAN14,310,1400000737,18,2014,2014-08-27,F,445,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00313,PHOGAN14,313,1400000737,21,2014,2014-08-27,M,440,YES,WNH12PINKB,Hatchery,Male,2014-08-27,239
PH14_00314,PHOGAN14,314,1400000737,22,2014,2014-08-27,F,425,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00316,PHOGAN14,316,1400000737,24,2014,2014-08-27,F,435,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00320,PHOGAN14,320,1400000737,28,2014,2014-08-27,F,430,YES,CCH12,Hatchery,Female,2014-08-27,239
PH14_00322,PHOGAN14,322,1400000737,30,2014,2014-08-27,M,410,NO,NA,Natural,Male,2014-08-27,239
PH14_00329,PHOGAN14,329,1400000737,37,2014,2014-08-27,F,440,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00330,PHOGAN14,330,1400000737,38,2014,2014-08-27,F,455,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00333,PHOGAN14,333,1400000737,41,2014,2014-08-27,F,445,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00338,PHOGAN14,338,1400000737,46,2014,2014-08-27,F,415,NO,NA,Natural,Female,2014-08-27,239
PH14_00340,PHOGAN14,340,1400000737,48,2014,2014-08-27,F,440,NO,NA,Natural,Female,2014-08-27,239
PH14_00342,PHOGAN14,342,1400000738,2,2014,2014-08-27,F,425,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00346,PHOGAN14,346,1400000738,6,2014,2014-08-27,F,445,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00347,PHOGAN14,347,1400000738,7,2014,2014-08-27,F,425,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00349,PHOGAN14,349,1400000738,9,2014,2014-08-27,M,450,YES,WNH12PINKB,Hatchery,Male,2014-08-27,239
PH14_00350,PHOGAN14,350,1400000738,10,2014,2014-08-27,M,450,YES,AFK12B,Hatchery,Male,2014-08-27,239
PH14_00351,PHOGAN14,351,1400000738,11,2014,2014-08-27,M,425,NO,NA,Natural,Male,2014-08-27,239
PH14_00352,PHOGAN14,352,1400000738,12,2014,2014-08-27,F,455,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00353,PHOGAN14,353,1400000738,13,2014,2014-08-27,F,480,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00356,PHOGAN14,356,1400000738,16,2014,2014-08-27,F,405,YES,CCH12,Hatchery,Female,2014-08-27,239
PH14_00357,PHOGAN14,357,1400000738,17,2014,2014-08-27,F,465,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00360,PHOGAN14,360,1400000738,20,2014,2014-08-27,F,450,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00370,PHOGAN14,370,1400000738,30,2014,2014-08-27,F,430,YES,CCH12,Hatchery,Female,2014-08-27,239
PH14_00371,PHOGAN14,371,1400000738,31,2014,2014-08-27,F,420,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00372,PHOGAN14,372,1400000738,32,2014,2014-08-27,F,460,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00378,PHOGAN14,378,1400000738,38,2014,2014-08-27,F,425,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00380,PHOGAN14,380,1400000738,40,2014,2014-08-27,F,410,YES,CCH12,Hatchery,Female,2014-08-27,239
PH14_00385,PHOGAN14,385,1400000738,45,2014,2014-08-27,F,455,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00393,PHOGAN14,393,1400000739,5,2014,2014-08-27,F,450,YES,AFK12B,Hatchery,Female,2014-08-27,239
PH14_00394,PHOGAN14,394,1400000739,6,2014,2014-08-27,M,435,YES,AFK12B,Hatchery,Male,2014-08-27,239
PH14_00396,PHOGAN14,396,1400000739,8,2014,2014-08-27,F,445,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00397,PHOGAN14,397,1400000739,9,2014,2014-08-27,F,455,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00402,PHOGAN14,402,1400000739,14,2014,2014-08-27,F,450,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00403,PHOGAN14,403,1400000739,15,2014,2014-08-27,F,430,YES,WNH12PINKB,Hatchery,Female,2014-08-27,239
PH14_00410,PHOGAN14,410,1400000739,22,2014,2014-08-27,M,400,YES,AFK12B,Hatchery,Male,2014-08-27,239
PH14_00412,PHOGAN14,412,1400000739,24,2014,2014-08-27,F,405,NO,NA,Natural,Female,2014-08-27,239
PH14_00415,PHOGAN14,415,1400000739,27,2014,2014-08-27,M,405,YES,AFK12B,Hatchery,Male,2014-08-27,239
PH14_00417,PHOGAN14,417,1400000739,29,2014,2014-08-27,M,405,YES,AFK12B,Hatchery,Male,2014-08-27,239
PH14_00437,PHOGAN14,437,1400000710,1,2014,2014-08-16,F,390,NO,NA,Natural,Female,2014-08-16,228
PH14_00438,PHOGAN14,438,1400000710,2,2014,2014-08-16,M,405,YES,AFK12B,Hatchery,Male,2014-08-16,228
PH14_00439,PHOGAN14,439,1400000710,3,2014,2014-08-16,M,495,NO,NA,Natural,Male,2014-08-16,228
PH14_00441,PHOGAN14,441,1400000710,5,2014,2014-08-16,M,435,NO,NA,Natural,Male,2014-08-16,228
PH14_00442,PHOGAN14,442,1400000710,6,2014,2014-08-16,M,380,NO,NA,Natural,Male,2014-08-16,228
PH14_00443,PHOGAN14,443,1400002658,1,2014,2014-08-25,F,413,YES,AFK12B,Hatchery,Female,2014-08-25,237
PH14_00446,PHOGAN14,446,1400002658,4,2014,2014-08-25,F,413,YES,AFK12B,Hatchery,Female,2014-08-25,237
PH14_00451,PHOGAN14,451,1400002658,9,2014,2014-08-25,M,423,NO,NA,Natural,Male,2014-08-25,237
PH14_00458,PHOGAN14,458,1400002658,16,2014,2014-08-25,M,481,YES,AFK12B,Hatchery,Male,2014-08-25,237
PH14_00462,PHOGAN14,462,1400002658,20,2014,2014-08-25,F,410,YES,AFK12B,Hatchery,Female,2014-08-25,237
PH14_00464,PHOGAN14,464,1400002658,22,2014,2014-08-25,M,420,YES,AFK12B,Hatchery,Male,2014-08-25,237
PH14_00470,PHOGAN14,470,1400002658,28,2014,2014-08-25,M,349,NO,NA,Natural,Male,2014-08-25,237
PH14_00471,PHOGAN14,471,1400002658,29,2014,2014-08-25,F,376,NO,NA,Natural,Female,2014-08-25,237
PH14_00472,PHOGAN14,472,1400002658,30,2014,2014-08-25,M,387,YES,AFK12B,Hatchery,Male,2014-08-25,237
PH14_00486,PHOGAN14,486,1400002658,44,2014,2014-08-25,M,412,YES,CCH12,Hatchery,Male,2014-08-25,237
PH14_00489,PHOGAN14,489,1400002658,47,2014,2014-08-25,M,375,NO,NA,Natural,Male,2014-08-25,237
PH14_00490,PHOGAN14,490,1400002658,48,2014,2014-08-25,F,411,YES,AFK12B,Hatchery,Female,2014-08-25,237
PH14_00500,PHOGAN14,500,1400002659,10,2014,2014-08-25,F,404,NO,NA,Natural,Female,2014-08-25,237
PH14_00502,PHOGAN14,502,1400002659,12,2014,2014-08-25,M,431,NO,NA,Natural,Male,2014-08-25,237
PH14_00505,PHOGAN14,505,1400002659,15,2014,2014-08-25,M,397,YES,CCH12,Hatchery,Male,2014-08-25,237
PH14_00506,PHOGAN14,506,1400002659,16,2014,2014-08-25,M,396,NO,NA,Natural,Male,2014-08-25,237
PH14_00510,PHOGAN14,510,1400002659,20,2014,2014-08-25,M,400,NO,NA,Natural,Male,2014-08-25,237
PH14_00515,PHOGAN14,515,1400002659,25,2014,2014-08-25,M,404,NO,NA,Natural,Male,2014-08-25,237
PH14_00517,PHOGAN14,517,1400002659,27,2014,2014-08-25,M,430,YES,AFK12B,Hatchery,Male,2014-08-25,237
PH14_00522,PHOGAN14,522,1400002659,32,2014,2014-08-25,M,428,NO,NA,Natural,Male,2014-08-25,237
PH14_00523,PHOGAN14,523,1400002659,33,2014,2014-08-25,F,443,YES,WNH12PINKB,Hatchery,Female,2014-08-25,237
PH14_00526,PHOGAN14,526,1400002659,36,2014,2014-08-25,M,431,YES,AFK12B,Hatchery,Male,2014-08-25,237
