Offspring,Parent 1,Parent 2,SILLY.off,Fish ID.off,DNA Tray Code.off,DNA Tray Well Code.off,Sample Year.off,Sample Date.off,SEX.off,Length Mm.off,Otolith Mark Present.off,Otolith Mark ID.off,origin.off,SILLY.par1,Fish ID.par1,DNA Tray Code.par1,DNA Tray Well Code.par1,Sample Year.par1,Sample Date.par1,SEX.par1,Length Mm.par1,Otolith Mark Present.par1,Otolith Mark ID.par1,origin.par1,SILLY,Fish ID,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,cross
PH16_00109,PH14_02410,PH14_01956,PHOGAN16,109,14754,13,2016,2016-09-02T00:00:00Z,F,406,NO,NA,Natural,PHOGAN14,2410,1400002506,7,2014,2014-09-10T00:00:00Z,M,455,YES,AFK12B,Hatchery,PHOGAN14,1956,1400000875,4,2014,2014-09-06T00:00:00Z,F,450,YES,AFK12B,Hatchery,HH
PH16_00761,PH14_01252,PH14_01008,PHOGAN16,761,14502,41,2016,2016-08-18T00:00:00Z,F,NA,NO,NA,Natural,PHOGAN14,1252,1400000861,34,2014,2014-09-03T00:00:00Z,M,450,YES,AFK12B,Hatchery,PHOGAN14,1008,1400000856,30,2014,2014-09-03T00:00:00Z,F,435,NO,NA,Natural,NH
PH16_01657,PH14_02641,PH14_02091,PHOGAN16,1657,15946,25,2016,2016-09-16T00:00:00Z,F,451,NO,NA,Natural,PHOGAN14,2641,1400002513,46,2014,2014-09-11T00:00:00Z,F,450,YES,AFK12B,Hatchery,PHOGAN14,2091,1400000877,43,2014,2014-09-06T00:00:00Z,M,475,NO,NA,Natural,HN
PH16_02242,PH14_01069,PH14_00340,PHOGAN16,2242,15980,34,2016,2016-09-02T00:00:00Z,M,412,NO,NA,Natural,PHOGAN14,1069,1400000857,43,2014,2014-09-03T00:00:00Z,M,390,YES,AFK12B,Hatchery,PHOGAN14,340,1400000737,48,2014,2014-08-27T00:00:00Z,F,440,NO,NA,Natural,NH
PH16_02867,PH14_00545,PH14_00044,PHOGAN16,2867,14739,35,2016,2016-08-31T00:00:00Z,M,407,NO,NA,Natural,PHOGAN14,545,1400002660,7,2014,2014-08-25T00:00:00Z,M,409,NO,NA,Natural,PHOGAN14,44,1400000746,34,2014,2014-08-28T00:00:00Z,F,445,NO,NA,Natural,NN
PH16_03911,PH14_02410,PH14_01956,PHOGAN16,3911,15903,44,2016,2016-09-13T00:00:00Z,M,431,NO,NA,Natural,PHOGAN14,2410,1400002506,7,2014,2014-09-10T00:00:00Z,M,455,YES,AFK12B,Hatchery,PHOGAN14,1956,1400000875,4,2014,2014-09-06T00:00:00Z,F,450,YES,AFK12B,Hatchery,HH
PH16_04196,PH14_02482,PH14_02040,PHOGAN16,4196,15947,41,2016,2016-09-17T00:00:00Z,M,480,NO,NA,Natural,PHOGAN14,2482,1400002507,31,2014,2014-09-10T00:00:00Z,F,435,YES,WNH12PINKB,Hatchery,PHOGAN14,2040,1400000876,40,2014,2014-09-06T00:00:00Z,M,445,NO,NA,Natural,HN
PH16_04431,PH14_00610,PH14_00101,PHOGAN16,4431,14733,36,2016,2016-08-31T00:00:00Z,F,421,NO,NA,Natural,PHOGAN14,610,1400000726,16,2014,2014-08-22T00:00:00Z,F,460,YES,AFK12B,Hatchery,PHOGAN14,101,1400000745,1,2014,2014-08-28T00:00:00Z,M,450,YES,AFK12B,Hatchery,HH
PH16_04853,PH14_00727,PH14_00582,PHOGAN16,4853,14483,44,2016,2016-08-14T00:00:00Z,M,440,NO,NA,Natural,PHOGAN14,727,1400000719,37,2014,2014-08-20T00:00:00Z,M,435,NO,NA,Natural,PHOGAN14,582,1400000725,36,2014,2014-08-22T00:00:00Z,F,425,NO,NA,Natural,NN
PH16_05105,PH14_00851,PH14_00731,PHOGAN16,5105,14666,8,2016,2016-08-24T00:00:00Z,M,430,NO,NA,Natural,PHOGAN14,851,1400000728,17,2014,2014-08-22T00:00:00Z,F,470,NO,NA,Natural,PHOGAN14,731,1400000719,41,2014,2014-08-20T00:00:00Z,M,445,NO,NA,Natural,NN
PH16_05595,PH14_01363,PH14_00044,PHOGAN16,5595,14704,18,2016,2016-08-29T00:00:00Z,F,432,NO,NA,Natural,PHOGAN14,1363,1400000831,1,2014,2014-08-31T00:00:00Z,M,485,NO,NA,Natural,PHOGAN14,44,1400000746,34,2014,2014-08-28T00:00:00Z,F,445,NO,NA,Natural,NN
