franz_id,SILLY,Fish ID,Sample,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,Sex,date,DOY,n,lineage,Segment,vert,snapdist,Latitude,Longitude,Distance,hitide,dist2tide,Intertidal,Success
PH14_00002,PHOGAN14,2,1400000729_2,1400000729,2,2014,2014-08-22,M,410,YES,AFK12B,Hatchery,Male,2014-08-22,234,0,NA,1,346,3.485603707332727,60.2085490239211,-147.762233369813,332.2417578581735,428.93538817076814,-96.69363031259462,Intertidal,Unsuccessful
PH14_00003,PHOGAN14,3,1400000729_3,1400000729,3,2014,2014-08-22,M,420,NO,NA,Natural,Male,2014-08-22,234,1,even,1,346,3.485603707332727,60.2085490239211,-147.762233369813,332.2417578581735,428.93538817076814,-96.69363031259462,Intertidal,Successful
PH14_00007,PHOGAN14,7,1400000729_7,1400000729,7,2014,2014-08-22,M,380,NO,NA,Natural,Male,2014-08-22,234,0,NA,1,346,3.485603707332727,60.2085490239211,-147.762233369813,332.2417578581735,428.93538817076814,-96.69363031259462,Intertidal,Unsuccessful
PH14_00009,PHOGAN14,9,1400000729_9,1400000729,9,2014,2014-08-22,M,410,NO,NA,Natural,Male,2014-08-22,234,1,even,1,346,3.485603707332727,60.2085490239211,-147.762233369813,332.2417578581735,428.93538817076814,-96.69363031259462,Intertidal,Successful
PH14_00010,PHOGAN14,10,1400000729_10,1400000729,10,2014,2014-08-22,M,425,NO,NA,Natural,Male,2014-08-22,234,0,NA,1,346,3.485603707332727,60.2085490239211,-147.762233369813,332.2417578581735,428.93538817076814,-96.69363031259462,Intertidal,Unsuccessful
PH14_00011,PHOGAN14,11,1400000746_1,1400000746,1,2014,2014-08-28,M,425,YES,AFK12B,Hatchery,Male,2014-08-28,240,0,NA,1,314,3.5849946025903394,60.2087433891674,-147.761789811179,363.9851592833929,428.93538817076814,-64.95022888737526,Intertidal,Unsuccessful
PH14_00012,PHOGAN14,12,1400000746_2,1400000746,2,2014,2014-08-28,F,410,NO,NA,Natural,Female,2014-08-28,240,2,even,1,314,3.5849946025903394,60.2087433891674,-147.761789811179,363.9851592833929,428.93538817076814,-64.95022888737526,Intertidal,Successful
PH14_00018,PHOGAN14,18,1400000746_8,1400000746,8,2014,2014-08-28,F,435,NO,NA,Natural,Female,2014-08-28,240,0,NA,1,314,3.5849946025903394,60.2087433891674,-147.761789811179,363.9851592833929,428.93538817076814,-64.95022888737526,Intertidal,Unsuccessful
PH14_00020,PHOGAN14,20,1400000746_10,1400000746,10,2014,2014-08-28,M,400,YES,AFK12B,Hatchery,Male,2014-08-28,240,0,NA,1,314,3.5849946025903394,60.2087433891674,-147.761789811179,363.9851592833929,428.93538817076814,-64.95022888737526,Intertidal,Unsuccessful
PH14_00040,PHOGAN14,40,1400000746_30,1400000746,30,2014,2014-08-28,F,435,YES,WNH12PINKB,Hatchery,Female,2014-08-28,240,0,NA,1,314,3.5849946025903394,60.2087433891674,-147.761789811179,363.9851592833929,428.93538817076814,-64.95022888737526,Intertidal,Unsuccessful
