Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2,Posterior Parent 1,Posterior Parent 2
PS15_00001,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00002,296,,,,,0.000000E+000,1.0000,296,0,487,487,,,1.0000,1.0000,<
PS15_00003,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00004,295,,,,,0.000000E+000,1.0000,295,0,487,487,,,1.0000,1.0000,<
PS15_00005,295,,,,,0.000000E+000,1.0000,295,0,487,487,,,1.0000,1.0000,<
PS15_00006,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00007,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00008,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00009,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00010,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00011,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00012,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00014,293,,,,,0.000000E+000,1.0000,293,0,487,487,,,1.0000,1.0000,<
PS15_00017,291,,,,,0.000000E+000,1.0000,291,0,487,487,,,1.0000,1.0000,<
PS15_00018,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00019,293,,,,,0.000000E+000,1.0000,293,0,487,487,,,1.0000,1.0000,<
PS15_00020,290,,,,,0.000000E+000,1.0000,290,0,487,487,,,1.0000,1.0000,<
PS15_00021,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00022,296,,,,,0.000000E+000,1.0000,296,0,487,487,,,1.0000,1.0000,<
PS15_00023,296,,,,,0.000000E+000,1.0000,296,0,487,487,,,1.0000,1.0000,<
PS15_00024,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00025,296,,,,,0.000000E+000,1.0000,296,0,487,487,,,1.0000,1.0000,<
PS15_00026,288,,,,,0.000000E+000,1.0000,288,0,487,487,,,1.0000,1.0000,<
PS15_00029,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00031,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00032,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
PS15_00033,285,,,,,0.000000E+000,1.0000,285,0,487,487,,,1.0000,1.0000,<
PS15_00036,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00037,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00038,285,,,,,0.000000E+000,1.0000,285,0,487,487,,,1.0000,1.0000,<
PS15_00040,296,,,,,0.000000E+000,1.0000,296,0,487,487,,,1.0000,1.0000,<
PS15_00041,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00042,298,,,,,0.000000E+000,1.0000,298,0,487,487,,,1.0000,1.0000,<
PS15_00043,297,,,,,0.000000E+000,1.0000,297,0,487,487,,,1.0000,1.0000,<
