franz_id,SILLY,Fish ID,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,Sex,date,DOY,n,lineage
PS13_00002,PSTOCK13,2,1300001661,2,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,6,odd
PS13_00007,PSTOCK13,7,1300001661,7,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00009,PSTOCK13,9,1300001661,9,2013,19-AUG-13,F,409,NO,NA,Natural,Female,2013-08-19,231,2,odd
PS13_00010,PSTOCK13,10,1300001661,10,2013,19-AUG-13,M,399,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00011,PSTOCK13,11,1300001661,11,2013,19-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-19,231,0,NA
PS13_00012,PSTOCK13,12,1300001661,12,2013,19-AUG-13,M,442,NO,NA,Natural,Male,2013-08-19,231,11,odd
PS13_00015,PSTOCK13,15,1300001661,15,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,2,odd
PS13_00016,PSTOCK13,16,1300001661,16,2013,19-AUG-13,F,396,NO,NA,Natural,Female,2013-08-19,231,0,NA
PS13_00017,PSTOCK13,17,1300001661,17,2013,19-AUG-13,M,428,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00018,PSTOCK13,18,1300001661,18,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,1,odd
PS13_00019,PSTOCK13,19,1300001661,19,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00020,PSTOCK13,20,1300001661,20,2013,19-AUG-13,F,399,NO,NA,Natural,Female,2013-08-19,231,1,odd
PS13_00021,PSTOCK13,21,1300001661,21,2013,19-AUG-13,M,414,NO,NA,Natural,Male,2013-08-19,231,1,odd
PS13_00022,PSTOCK13,22,1300001661,22,2013,19-AUG-13,M,399,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00023,PSTOCK13,23,1300001661,23,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00024,PSTOCK13,24,1300001661,24,2013,19-AUG-13,F,424,NO,NA,Natural,Female,2013-08-19,231,0,NA
PS13_00025,PSTOCK13,25,1300001661,25,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,3,odd
PS13_00026,PSTOCK13,26,1300001661,26,2013,19-AUG-13,M,419,NO,NA,Natural,Male,2013-08-19,231,1,odd
PS13_00027,PSTOCK13,27,1300001661,27,2013,19-AUG-13,M,436,NO,NA,Natural,Male,2013-08-19,231,5,odd
PS13_00028,PSTOCK13,28,1300001661,28,2013,19-AUG-13,M,362,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00029,PSTOCK13,29,1300001661,29,2013,19-AUG-13,M,393,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00030,PSTOCK13,30,1300001661,30,2013,19-AUG-13,M,412,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00031,PSTOCK13,31,1300001661,31,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00032,PSTOCK13,32,1300001661,32,2013,19-AUG-13,M,383,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00033,PSTOCK13,33,1300001661,33,2013,19-AUG-13,M,382,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00035,PSTOCK13,35,1300001661,35,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00036,PSTOCK13,36,1300001661,36,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,2,odd
PS13_00037,PSTOCK13,37,1300001661,37,2013,19-AUG-13,M,387,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00038,PSTOCK13,38,1300001661,38,2013,19-AUG-13,M,372,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00039,PSTOCK13,39,1300001661,39,2013,19-AUG-13,M,371,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00041,PSTOCK13,41,1300001661,41,2013,19-AUG-13,M,409,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00042,PSTOCK13,42,1300001661,42,2013,19-AUG-13,M,368,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00043,PSTOCK13,43,1300001661,43,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00044,PSTOCK13,44,1300001661,44,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00045,PSTOCK13,45,1300001661,45,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
PS13_00046,PSTOCK13,46,1300001661,46,2013,19-AUG-13,M,392,NO,NA,Natural,Male,2013-08-19,231,5,odd
PS13_00047,PSTOCK13,47,1300001661,47,2013,19-AUG-13,F,NA,NO,NA,Natural,Female,2013-08-19,231,0,NA
PS13_00048,PSTOCK13,48,1300001661,48,2013,19-AUG-13,M,NA,NO,NA,Natural,Male,2013-08-19,231,0,NA
