franz_id,SILLY,Fish ID,Sample,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,Sex,date,DOY,n,lineage,Segment,vert,snapdist,Latitude,Longitude,Distance,hitide,dist2tide,Intertidal,Success
PS14_00001,PSTOCK14,1,1400000829_1,1400000829,1,2014,2014-08-30,M,460,YES,AFK12B,Hatchery,Male,2014-08-30,242,1,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
PS14_00002,PSTOCK14,2,1400000829_2,1400000829,2,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Unsuccessful
PS14_00003,PSTOCK14,3,1400000829_3,1400000829,3,2014,2014-08-30,F,430,NO,NA,Natural,Female,2014-08-30,242,1,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
PS14_00004,PSTOCK14,4,1400000829_4,1400000829,4,2014,2014-08-30,M,425,YES,AFK12B,Hatchery,Male,2014-08-30,242,2,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
PS14_00005,PSTOCK14,5,1400000829_5,1400000829,5,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,3,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
PS14_00006,PSTOCK14,6,1400000829_6,1400000829,6,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,1,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
PS14_00012,PSTOCK14,12,1400000829_12,1400000829,12,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,0,NA,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Unsuccessful
PS14_00015,PSTOCK14,15,1400000829_15,1400000829,15,2014,2014-08-30,F,460,NO,NA,Natural,Female,2014-08-30,242,1,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
PS14_00016,PSTOCK14,16,1400000829_16,1400000829,16,2014,2014-08-30,F,410,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Unsuccessful
PS14_00017,PSTOCK14,17,1400000829_17,1400000829,17,2014,2014-08-30,F,420,NO,NA,Natural,Female,2014-08-30,242,0,NA,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Unsuccessful
PS14_00020,PSTOCK14,20,1400000829_20,1400000829,20,2014,2014-08-30,F,425,YES,AFK12B,Hatchery,Female,2014-08-30,242,0,NA,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Unsuccessful
PS14_00021,PSTOCK14,21,1400000829_21,1400000829,21,2014,2014-08-30,F,445,NO,NA,Natural,Female,2014-08-30,242,2,even,2,628,17.358423968560313,60.3020873298172,-147.181797492466,487.16512569375584,323.0713775595575,164.09374813419834,Upstream,Successful
