variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),498.42880841827736,264.13152327690426,1.887047794351096,0.05915389750215334,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,1249.9690274972718,418.1431363480975,406,556.500120915224,410,6,0.9903440430697511,0
`Sample Date`,-0.03058508145771102,0.016208244198959016,-1.887007690794501,0.05915929123027945,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,1249.9690274972718,418.1431363480975,406,556.500120915224,410,6,0.9903440430697511,0
`Length Mm`,0.004664064526299638,0.0034871023261701843,1.3375186874490397,0.1810533865059791,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,1249.9690274972718,418.1431363480975,406,556.500120915224,410,6,0.9903440430697511,0
originHatchery,-0.5181759306123667,0.1468829379830565,-3.5278156723154614,4.1900382347391654e-4,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,1249.9690274972718,418.1431363480975,406,556.500120915224,410,6,0.9903440430697511,0
Distance,-0.0020148869803671365,2.4151926429433494e-4,-8.342551830199483,7.270428486692022e-17,RS.glm.F.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,1249.9690274972718,418.1431363480975,406,556.500120915224,410,6,0.9903440430697511,0
(Intercept),500.7359575309972,268.93582642354767,1.861916146279399,0.06261491077086427,RS.glm.F.8,n ~ `Sample Date` + `Length Mm` + Distance,1260.1252860560082,417.5315359081173,407,538.1387898452967,410,5,0.006171383985779602,10.156258558736454
`Sample Date`,-0.030623553289485975,0.016502950891982546,-1.8556410601914528,0.06350473701336802,RS.glm.F.8,n ~ `Sample Date` + `Length Mm` + Distance,1260.1252860560082,417.5315359081173,407,538.1387898452967,410,5,0.006171383985779602,10.156258558736454
`Length Mm`,4.91538871183154e-4,0.0033689810789415135,0.14590134514426795,0.8839992696826686,RS.glm.F.8,n ~ `Sample Date` + `Length Mm` + Distance,1260.1252860560082,417.5315359081173,407,538.1387898452967,410,5,0.006171383985779602,10.156258558736454
Distance,-0.0022402102229226836,2.3612705388423636e-4,-9.487308574226184,2.3707622654264294e-21,RS.glm.F.8,n ~ `Sample Date` + `Length Mm` + Distance,1260.1252860560082,417.5315359081173,407,538.1387898452967,410,5,0.006171383985779602,10.156258558736454
(Intercept),1.7274601716266516,1.414441492028815,1.221301963610284,0.22197171022021456,RS.glm.F.9,n ~ `Length Mm` + Distance,1261.8171187851171,415.20336698125715,408,529.7260693168486,410,4,0.002648535265238201,11.848091287845364
`Length Mm`,-7.738650939221147e-4,0.003334141747902097,-0.23210323748504236,0.8164578303880357,RS.glm.F.9,n ~ `Length Mm` + Distance,1261.8171187851171,415.20336698125715,408,529.7260693168486,410,4,0.002648535265238201,11.848091287845364
Distance,-0.002292495236215558,2.360297333158735e-4,-9.712739170651695,2.6608835612569485e-22,RS.glm.F.9,n ~ `Length Mm` + Distance,1261.8171187851171,415.20336698125715,408,529.7260693168486,410,4,0.002648535265238201,11.848091287845364
(Intercept),427.45544282556386,284.27938411457615,1.5036455920183152,0.1326726452944476,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1264.1233403385734,411.9454412453193,406,527.5653346873538,410,6,8.360189324852834e-4,14.15431284130159
`Sample Date`,-0.02631755172834684,0.01744090189674706,-1.5089558948356554,0.13131005429368747,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1264.1233403385734,411.9454412453193,406,527.5653346873538,410,6,8.360189324852834e-4,14.15431284130159
`Length Mm`,0.007185325600843972,0.0036334136816124065,1.977568818328258,0.047977369834517565,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1264.1233403385734,411.9454412453193,406,527.5653346873538,410,6,8.360189324852834e-4,14.15431284130159
originHatchery,-0.7296323682559884,0.14826700257662292,-4.921070471354013,8.607212878296015e-7,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1264.1233403385734,411.9454412453193,406,527.5653346873538,410,6,8.360189324852834e-4,14.15431284130159
IntertidalUpstream,-1.0666108986082128,0.14137897543345856,-7.5443388618290275,4.5458772082556726e-14,RS.glm.F.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1264.1233403385734,411.9454412453193,406,527.5653346873538,410,6,8.360189324852834e-4,14.15431284130159
(Intercept),447.1213828423338,292.1016655072487,1.5307046677254847,0.1258423996483171,RS.glm.F.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1286.5672130458224,415.2610901881226,407,499.3622430035515,410,5,1.118384341623758e-8,36.598185548550646
`Sample Date`,-0.027380150971052286,0.01792067717905212,-1.5278524744063553,0.12654917028114207,RS.glm.F.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1286.5672130458224,415.2610901881226,407,499.3622430035515,410,5,1.118384341623758e-8,36.598185548550646
`Length Mm`,0.0011646037021536728,0.0035364280578895242,0.3293163845240746,0.7419165611254379,RS.glm.F.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1286.5672130458224,415.2610901881226,407,499.3622430035515,410,5,1.118384341623758e-8,36.598185548550646
