variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),897.2296668379996,293.0507683378066,3.061686792111535,0.002200936192325682,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,992.0894863273211,305.77399918192214,310,477.9664396330785,314,6,0.9999809820415415,0
`Sample Date`,-0.055320199105211854,0.017982442079649157,-3.076345184941153,0.002095550931174081,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,992.0894863273211,305.77399918192214,310,477.9664396330785,314,6,0.9999809820415415,0
`Length Mm`,0.0160190606176535,0.0026310927061973903,6.088367992477615,1.140674481787231e-9,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,992.0894863273211,305.77399918192214,310,477.9664396330785,314,6,0.9999809820415415,0
originHatchery,-0.8326744564401766,0.16712802891139164,-4.982254992558106,6.28475402407222e-7,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,992.0894863273211,305.77399918192214,310,477.9664396330785,314,6,0.9999809820415415,0
Distance,-0.0022288332552958356,2.9362105941258584e-4,-7.590849443002515,3.178150614665611e-14,RS.glm.M.1,n ~ `Sample Date` + `Length Mm` + origin + Distance,992.0894863273211,305.77399918192214,310,477.9664396330785,314,6,0.9999809820415415,0
(Intercept),1281.2546606470075,290.3060143714808,4.413462337047868,1.0173042256802347e-5,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,1014.2564317529607,304.5356659603191,311,435.3279916290489,314,5,1.5363872733163666e-5,22.166945425639597
`Sample Date`,-0.07888469940014795,0.01781617376943106,-4.427701504320646,9.524258149675273e-6,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,1014.2564317529607,304.5356659603191,311,435.3279916290489,314,5,1.5363872733163666e-5,22.166945425639597
`Length Mm`,0.016218880859295307,0.0028019494096836552,5.788427443851117,7.1048425646238775e-9,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,1014.2564317529607,304.5356659603191,311,435.3279916290489,314,5,1.5363872733163666e-5,22.166945425639597
Distance,-0.002592502033142495,3.023676624920622e-4,-8.57400560554505,9.994656031636693e-18,RS.glm.M.8,n ~ `Sample Date` + `Length Mm` + Distance,1014.2564317529607,304.5356659603191,311,435.3279916290489,314,5,1.5363872733163666e-5,22.166945425639597
(Intercept),1458.2160176332218,309.50394747886537,4.711461774595934,2.4594623404433786e-6,RS.glm.M.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1017.1296505576602,304.49374919766416,310,433.88066302888393,314,6,3.652491087957299e-6,25.040164230339087
`Sample Date`,-0.08973286826337815,0.018993009530376272,-4.7245207832842295,2.30658626543468e-6,RS.glm.M.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1017.1296505576602,304.49374919766416,310,433.88066302888393,314,6,3.652491087957299e-6,25.040164230339087
`Length Mm`,0.015678036897192396,0.0027348305772579443,5.732726929253458,9.882867631611353e-9,RS.glm.M.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1017.1296505576602,304.49374919766416,310,433.88066302888393,314,6,3.652491087957299e-6,25.040164230339087
originHatchery,-0.881211363280441,0.17512167936408193,-5.031994704941029,4.854026753922351e-7,RS.glm.M.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1017.1296505576602,304.49374919766416,310,433.88066302888393,314,6,3.652491087957299e-6,25.040164230339087
IntertidalUpstream,-0.9587914282877654,0.16937592330488033,-5.6607303421863575,1.507301194473758e-8,RS.glm.M.17,n ~ `Sample Date` + `Length Mm` + origin + Intertidal,1017.1296505576602,304.49374919766416,310,433.88066302888393,314,6,3.652491087957299e-6,25.040164230339087
(Intercept),-4.516566134947187,1.1962676446160936,-3.7755481854536357,1.596561561937221e-4,RS.glm.M.9,n ~ `Length Mm` + Distance,1032.6563976444347,297.901918652609,312,394.94411293578906,314,4,1.5523829853820122e-9,40.566911317113636
`Length Mm`,0.01453640104520642,0.0028778462584395457,5.051138851694076,4.39183661521961e-7,RS.glm.M.9,n ~ `Length Mm` + Distance,1032.6563976444347,297.901918652609,312,394.94411293578906,314,4,1.5523829853820122e-9,40.566911317113636
Distance,-0.002853738881530318,3.120263822830256e-4,-9.145825621058592,5.917609354767627e-20,RS.glm.M.9,n ~ `Length Mm` + Distance,1032.6563976444347,297.901918652609,312,394.94411293578906,314,4,1.5523829853820122e-9,40.566911317113636
(Intercept),1995.2549187812156,308.75098254600675,6.462343544069221,1.0309371578879026e-10,RS.glm.M.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1040.0166592292765,301.37076678688203,311,392.2937069953909,314,5,3.9150596038808507e-11,47.92717290195537
`Sample Date`,-0.12269952467909766,0.018949925511440077,-6.4749344056800595,9.485313815714226e-11,RS.glm.M.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1040.0166592292765,301.37076678688203,311,392.2937069953909,314,5,3.9150596038808507e-11,47.92717290195537
`Length Mm`,0.016528013328391076,0.002899928363765897,5.699455729633097,1.2019053027779008e-8,RS.glm.M.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1040.0166592292765,301.37076678688203,311,392.2937069953909,314,5,3.9150596038808507e-11,47.92717290195537
IntertidalUpstream,-1.1840564690075384,0.1739067301296494,-6.808571859897607,9.857234922773995e-12,RS.glm.M.19,n ~ `Sample Date` + `Length Mm` + Intertidal,1040.0166592292765,301.37076678688203,311,392.2937069953909,314,5,3.9150596038808507e-11,47.92717290195537
(Intercept),1094.7894791778026,314.1445698232662,3.4849861635161083,4.921624907131268e-4,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,1045.1154297226146,309.03000809800113,311,395.8868861019113,314,5,3.0588236077704395e-12,53.02594339529355
`Sample Date`,-0.06734504921516889,0.019276702320028958,-3.4935980281853376,4.7655798564075164e-4,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,1045.1154297226146,309.03000809800113,311,395.8868861019113,314,5,3.0588236077704395e-12,53.02594339529355
`Length Mm`,0.010861053639903476,0.002775570896943549,3.9130881693073083,9.112324434821418e-5,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,1045.1154297226146,309.03000809800113,311,395.8868861019113,314,5,3.0588236077704395e-12,53.02594339529355
originHatchery,-1.0964251631002715,0.177280047800349,-6.184707059279758,6.221789861529054e-10,RS.glm.M.2,n ~ `Sample Date` + `Length Mm` + origin,1045.1154297226146,309.03000809800113,311,395.8868861019113,314,5,3.0588236077704395e-12,53.02594339529355
(Intercept),-4.875204073773901,1.6093036215313428,-3.029387375102574,0.002450502518229296,RS.glm.M.16,n ~ `Length Mm` * origin,1054.3542007627407,307.4054995593233,311,380.91295486878323,314,5,3.015649006045696e-14,62.26471443541959
`Length Mm`,0.014102922123098358,0.003804318972336099,3.707081931260419,2.0966112890242466e-4,RS.glm.M.16,n ~ `Length Mm` * origin,1054.3542007627407,307.4054995593233,311,380.91295486878323,314,5,3.015649006045696e-14,62.26471443541959
originHatchery,3.0929427677158814,2.39183669858167,1.2931245555141615,0.19596798356782083,RS.glm.M.16,n ~ `Length Mm` * origin,1054.3542007627407,307.4054995593233,311,380.91295486878323,314,5,3.015649006045696e-14,62.26471443541959
`Length Mm`:originHatchery,-0.010299367280688263,0.0055855875163051275,-1.84391834352661,0.06519504135326523,RS.glm.M.16,n ~ `Length Mm` * origin,1054.3542007627407,307.4054995593233,311,380.91295486878323,314,5,3.015649006045696e-14,62.26471443541959
(Intercept),-2.697375889026877,1.1822747395929851,-2.281513592987267,0.022518073287611778,RS.glm.M.3,n ~ `Length Mm` + origin,1055.7850103235153,307.39902395670396,312,376.3196452248061,314,4,1.4746346816827648e-14,63.6955239961942
`Length Mm`,0.008955074474920709,0.002795344825812576,3.203567013353198,0.0013573644636838092,RS.glm.M.3,n ~ `Length Mm` + origin,1055.7850103235153,307.39902395670396,312,376.3196452248061,314,4,1.4746346816827648e-14,63.6955239961942
originHatchery,-1.3076683710112813,0.17256759336719005,-7.5777169136781035,3.5168871813204286e-14,RS.glm.M.3,n ~ `Length Mm` + origin,1055.7850103235153,307.39902395670396,312,376.3196452248061,314,4,1.4746346816827648e-14,63.6955239961942
(Intercept),-4.17406030815669,1.2755822994067951,-3.2722783234745587,0.0010668449673623597,RS.glm.M.20,n ~ `Length Mm` + Intertidal,1083.9515987761185,300.76153297663285,312,333.4134915001172,314,4,1.128203582062283e-20,91.86211244879746
`Length Mm`,0.012121513479315917,0.0030292199614387915,4.001529645789918,6.29343081441935e-5,RS.glm.M.20,n ~ `Length Mm` + Intertidal,1083.9515987761185,300.76153297663285,312,333.4134915001172,314,4,1.128203582062283e-20,91.86211244879746
IntertidalUpstream,-0.9542258481695703,0.18606292034117417,-5.128511615424797,2.920418823890188e-7,RS.glm.M.20,n ~ `Length Mm` + Intertidal,1083.9515987761185,300.76153297663285,312,333.4134915001172,314,4,1.128203582062283e-20,91.86211244879746
(Intercept),595.9267367217709,291.404462491603,2.045015823115416,0.04085329815810035,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,1096.850425810206,327.33291039839133,339,453.4421717011353,342,5,1.7841968665617668e-23,104.76093948288485
`Sample Date`,-0.03643518957167295,0.01786863782279018,-2.039058037496426,0.04144423554872064,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,1096.850425810206,327.33291039839133,339,453.4421717011353,342,5,1.7841968665617668e-23,104.76093948288485
Distance,-0.001854059918067117,2.7223676995367864e-4,-6.810468396251495,9.728148306074235e-12,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,1096.850425810206,327.33291039839133,339,453.4421717011353,342,5,1.7841968665617668e-23,104.76093948288485
originHatchery,-0.8430296554934177,0.1706166376949993,-4.941075307089624,7.769289090404573e-7,RS.glm.M.12,n ~ `Sample Date` + Distance + origin,1096.850425810206,327.33291039839133,339,453.4421717011353,342,5,1.7841968665617668e-23,104.76093948288485
(Intercept),1.7618837907869809,0.14574586724662741,12.088739283465008,1.2113119519620171e-33,RS.glm.M.13,n ~ Distance + origin,1099.6633623151563,325.4664459112713,340,443.460825750065,342,4,4.371408287597538e-24,107.57387598783521
Distance,-0.0019422626214152887,2.7245046181571873e-4,-7.128865220015685,1.0119976693937432e-12,RS.glm.M.13,n ~ Distance + origin,1099.6633623151563,325.4664459112713,340,443.460825750065,342,4,4.371408287597538e-24,107.57387598783521
originHatchery,-0.9776219178766511,0.161911825066825,-6.037989612390339,1.5604610796423046e-9,RS.glm.M.13,n ~ Distance + origin,1099.6633623151563,325.4664459112713,340,443.460825750065,342,4,4.371408287597538e-24,107.57387598783521
(Intercept),1.8240497023304214,0.18727285011920183,9.740064836784338,2.0342452477261608e-22,RS.glm.M.14,n ~ Distance * origin,1101.4517492380917,325.2113292504209,339,443.3967007118084,342,5,1.787631855772278e-24,109.3622629107706
Distance,-0.00211991283081174,4.388492684415216e-4,-4.830617214744717,1.3611045695681263e-6,RS.glm.M.14,n ~ Distance * origin,1101.4517492380917,325.2113292504209,339,443.3967007118084,342,5,1.787631855772278e-24,109.3622629107706
originHatchery,-1.086942883338764,0.27414717851314063,-3.964815137744209,7.345284900230557e-5,RS.glm.M.14,n ~ Distance * origin,1101.4517492380917,325.2113292504209,339,443.3967007118084,342,5,1.787631855772278e-24,109.3622629107706
Distance:originHatchery,2.7713942900035285e-4,5.608247521737127e-4,0.4941640466583941,0.6211903289335519,RS.glm.M.14,n ~ Distance * origin,1101.4517492380917,325.2113292504209,339,443.3967007118084,342,5,1.787631855772278e-24,109.3622629107706
(Intercept),-2.5992009666640725,1.3103151894724427,-1.9836456049254525,0.04729536141973729,RS.glm.M.5,n ~ `Length Mm`,1106.5762978818948,298.9036411132311,313,304.7063028236619,314,3,1.3787847971101894e-25,114.4868115545737
`Length Mm`,0.007407251567025612,0.0030600112062275668,2.4206615818761645,0.015492292435026011,RS.glm.M.5,n ~ `Length Mm`,1106.5762978818948,298.9036411132311,313,304.7063028236619,314,3,1.3787847971101894e-25,114.4868115545737
(Intercept),1014.5029465355764,299.9329596347972,3.382432353452752,7.184697030688112e-4,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,1117.8005796435011,326.79417331400595,339,422.2704004923923,342,5,5.037031535952034e-28,125.71109331618004
`Sample Date`,-0.06212140506753507,0.018390777877698463,-3.377856308235143,7.305324303610146e-4,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,1117.8005796435011,326.79417331400595,339,422.2704004923923,342,5,5.037031535952034e-28,125.71109331618004
IntertidalUpstream,-0.7451381483632756,0.16574826682448637,-4.495601448142532,6.937357231672979e-6,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,1117.8005796435011,326.79417331400595,339,422.2704004923923,342,5,5.037031535952034e-28,125.71109331618004
originHatchery,-0.9091475697994643,0.17687608759738147,-5.140025325915925,2.7470144042125683e-7,RS.glm.M.22,n ~ `Sample Date` + Intertidal + origin,1117.8005796435011,326.79417331400595,339,422.2704004923923,342,5,5.037031535952034e-28,125.71109331618004
(Intercept),1020.7334308627908,283.919617120516,3.595149363805734,3.242055171030356e-4,RS.glm.M.11,n ~ `Sample Date` + Distance,1117.9157397047422,325.5597959951675,340,417.6503355820396,342,4,4.755191159531027e-28,125.82625337742115
`Sample Date`,-0.06249634507053508,0.017408288785219106,-3.590033796061505,3.3063509035754926e-4,RS.glm.M.11,n ~ `Sample Date` + Distance,1117.9157397047422,325.5597959951675,340,417.6503355820396,342,4,4.755191159531027e-28,125.82625337742115
Distance,-0.002161483077501545,2.773790583918847e-4,-7.792524388945664,6.5683487225686705e-15,RS.glm.M.11,n ~ `Sample Date` + Distance,1117.9157397047422,325.5597959951675,340,417.6503355820396,342,4,4.755191159531027e-28,125.82625337742115
