variable,Estimate,Std. Error,z value,Pr(>|z|),name,model,AIC,residual_deviance,residual_df,null_deviance,null_df,df,AIC_weight,delta_AIC
(Intercept),7.133524220657162,2.656279144429016,2.685532593823289,0.0072414311422625685,RS.glm.120,n ~ `Length Mm` + Distance + Julian + origin,2238.967529007494,723.3929434960695,721,1027.9968425643428,725,6,0.1643750373513463,0
`Length Mm`,0.012084516798433514,0.0020568412575482703,5.875279268191124,4.22131098313379e-9,RS.glm.120,n ~ `Length Mm` + Distance + Julian + origin,2238.967529007494,723.3929434960695,721,1027.9968425643428,725,6,0.1643750373513463,0
Distance,-0.0020462066786511874,1.8578244041769e-4,-11.013993970855115,3.271710362985576e-28,RS.glm.120,n ~ `Length Mm` + Distance + Julian + origin,2238.967529007494,723.3929434960695,721,1027.9968425643428,725,6,0.1643750373513463,0
Julian,-0.04413605261310619,0.011121806879336794,-3.968424653651069,7.234932478553356e-5,RS.glm.120,n ~ `Length Mm` + Distance + Julian + origin,2238.967529007494,723.3929434960695,721,1027.9968425643428,725,6,0.1643750373513463,0
originHatchery,-0.7340725746113197,0.10625954334028934,-6.908297848227143,4.905033089462773e-12,RS.glm.120,n ~ `Length Mm` + Distance + Julian + origin,2238.967529007494,723.3929434960695,721,1027.9968425643428,725,6,0.1643750373513463,0
(Intercept),9.732341731832623,3.091365371450617,3.1482340527304737,0.001642601146893925,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
`Length Mm`,0.006995983194919076,0.0034172482276189514,2.0472563679676536,0.0406329195074862,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
SEXM,-3.401581156286226,1.759427938569475,-1.9333449706680934,0.05319371539047709,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
Distance,-0.0020754749750206435,1.8636214925041105e-4,-11.136783855351817,8.306507433572794e-29,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
Julian,-0.04582205363040326,0.011853653145856038,-3.865648257678466,1.107945204861078e-4,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
originHatchery,-0.6879540459747351,0.10921909334914547,-6.29884413868482,2.998733300154798e-10,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
`Length Mm`:SEXM,0.007848045988134305,0.00409781969858172,1.9151760119779209,0.055470060590349986,RS.glm.115,n ~ `Length Mm` * SEX + Distance + Julian + origin,2239.168139315054,723.0459069014491,719,1033.5226637142703,725,8,0.14868730496990482,0.20061030756005493
(Intercept),105.43504719987241,106.7588233120532,0.9876003118888692,0.3233484334863529,RS.glm.61,n ~ `Length Mm` + Distance + I(Julian^2) + Julian + origin,2240.0918423640587,725.0695387546492,720,1032.0785961148445,725,7,0.09369023346817903,1.124313356564926
`Length Mm`,0.011653738861490837,0.0020854819361243605,5.58803155262425,2.2965792354777806e-8,RS.glm.61,n ~ `Length Mm` + Distance + I(Julian^2) + Julian + origin,2240.0918423640587,725.0695387546492,720,1032.0785961148445,725,7,0.09369023346817903,1.124313356564926
Distance,-0.0020403308034450834,1.8535029652813745e-4,-11.007971617328096,3.497901423277494e-28,RS.glm.61,n ~ `Length Mm` + Distance + I(Julian^2) + Julian + origin,2240.0918423640587,725.0695387546492,720,1032.0785961148445,725,7,0.09369023346817903,1.124313356564926
I(Julian^2),0.0016927550794605718,0.0018385155864113207,0.9207183730026106,0.357197481236353,RS.glm.61,n ~ `Length Mm` + Distance + I(Julian^2) + Julian + origin,2240.0918423640587,725.0695387546492,720,1032.0785961148445,725,7,0.09369023346817903,1.124313356564926
Julian,-0.8594249254485525,0.8855284502320931,-0.9705220935852495,0.33178631770735156,RS.glm.61,n ~ `Length Mm` + Distance + I(Julian^2) + Julian + origin,2240.0918423640587,725.0695387546492,720,1032.0785961148445,725,7,0.09369023346817903,1.124313356564926
originHatchery,-0.7166748932254502,0.1065483050101301,-6.726290888975776,1.740424648925269e-11,RS.glm.61,n ~ `Length Mm` + Distance + I(Julian^2) + Julian + origin,2240.0918423640587,725.0695387546492,720,1032.0785961148445,725,7,0.09369023346817903,1.124313356564926
(Intercept),116.55939514535984,106.14837460138162,1.09807988660283,0.2721696072713232,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
`Length Mm`,0.006438553800355537,0.0034328329225140446,1.875580299329058,0.060712933691568285,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
SEXM,-3.465923591993969,1.7556849128354168,-1.9741148122054148,0.04836868946010189,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
Distance,-0.0020701084756647556,1.859265668962366e-4,-11.134011186362939,8.569069411034811e-29,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
I(Julian^2),0.0018389909935938155,0.0018276063198709662,1.006229281218317,0.31430528984157036,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
Julian,-0.931521728855537,0.8802402218128017,-1.0582585364448855,0.289937590763461,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
originHatchery,-0.6686947158438263,0.10953331405000861,-6.1049437026850715,1.028369229139337e-9,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
`Length Mm`:SEXM,0.007999305452328945,0.004089136038880405,1.9562336337724617,0.0504376381227905,RS.glm.55,n ~ `Length Mm` * SEX + Distance + I(Julian^2) + Julian + origin,2240.1364652064713,724.6861905698735,718,1037.823792470811,725,9,0.09162301821565302,1.1689361989774625
(Intercept),7.529288594382992,2.8640135412183554,2.628929118533435,0.008565421220994381,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,2240.8244399569144,723.1025015727171,720,1027.761777853673,725,7,0.06495502812594602,1.8569109494205804
`Length Mm`,0.012126890734100046,0.0020603096697893292,5.885955355119041,3.957611442233142e-9,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,2240.8244399569144,723.1025015727171,720,1027.761777853673,725,7,0.06495502812594602,1.8569109494205804
SEXM,-0.040827857364353536,0.10793164114814036,-0.37827514647271715,0.7052262063704744,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,2240.8244399569144,723.1025015727171,720,1027.761777853673,725,7,0.06495502812594602,1.8569109494205804
Distance,-0.002049669197197654,1.862979191935377e-4,-11.00210461861537,3.73315752936323e-28,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,2240.8244399569144,723.1025015727171,720,1027.761777853673,725,7,0.06495502812594602,1.8569109494205804
Julian,-0.04577325536041882,0.011913271726952206,-3.842206944450269,1.2193295922929967e-4,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,2240.8244399569144,723.1025015727171,720,1027.761777853673,725,7,0.06495502812594602,1.8569109494205804
originHatchery,-0.7292917445085697,0.10773619372541042,-6.76923621756428,1.2946402026639339e-11,RS.glm.117,n ~ `Length Mm` + SEX + Distance + Julian + origin,2240.8244399569144,723.1025015727171,720,1027.761777853673,725,7,0.06495502812594602,1.8569109494205804
