Offspring,Parent 1,Parent 2,SILLY.off,Fish ID.off,DNA Tray Code.off,DNA Tray Well Code.off,Sample Year.off,Sample Date.off,SEX.off,Length Mm.off,Otolith Mark Present.off,Otolith Mark ID.off,origin.off,SILLY.par1,Fish ID.par1,DNA Tray Code.par1,DNA Tray Well Code.par1,Sample Year.par1,Sample Date.par1,SEX.par1,Length Mm.par1,Otolith Mark Present.par1,Otolith Mark ID.par1,origin.par1,SILLY,Fish ID,DNA Tray Code,DNA Tray Well Code,Sample Year,Sample Date,SEX,Length Mm,Otolith Mark Present,Otolith Mark ID,origin,cross
PS16_00038,PS14_00948,PS14_00165,PSTOCK16,38,15818,38,2016,2016-09-06T00:00:00Z,F,443,NO,NA,Natural,PSTOCK14,948,1400000872,6,2014,2014-09-05T00:00:00Z,M,445,YES,AFK12B,Hatchery,PSTOCK14,165,1400000869,12,2014,2014-09-05T00:00:00Z,F,440,NO,NA,Natural,NH
PS16_00039,PS14_01193,PS14_00763,PSTOCK16,39,15818,39,2016,2016-09-06T00:00:00Z,M,418,NO,NA,Natural,PSTOCK14,1193,1400000867,15,2014,2014-09-05T00:00:00Z,F,440,NO,NA,Natural,PSTOCK14,763,1400000828,4,2014,2014-08-30T00:00:00Z,M,435,YES,AFK12B,Hatchery,NH
PS16_00254,PS14_01071,PS14_00791,PSTOCK16,254,15815,14,2016,2016-09-06T00:00:00Z,F,421,NO,NA,Natural,PSTOCK14,1071,1400002654,34,2014,2014-08-24T00:00:00Z,M,417,NO,NA,Natural,PSTOCK14,791,1400000828,32,2014,2014-08-30T00:00:00Z,F,450,NO,NA,Natural,NN
PS16_00437,PS14_01275,PS14_00280,PSTOCK16,437,15856,21,2016,2016-09-08T00:00:00Z,F,443,NO,NA,Natural,PSTOCK14,1275,1400000826,1,2014,2014-08-30T00:00:00Z,M,430,NO,NA,Natural,PSTOCK14,280,1400000853,31,2014,2014-09-02T00:00:00Z,F,445,YES,AFK12B,Hatchery,HN
PS16_00681,PS14_01065,PS14_01056,PSTOCK16,681,14511,42,2016,2016-08-19T00:00:00Z,F,456,NO,NA,Natural,PSTOCK14,1065,1400002654,28,2014,2014-08-24T00:00:00Z,F,403,NO,NA,Natural,PSTOCK14,1056,1400002654,19,2014,2014-08-24T00:00:00Z,M,406,NO,NA,Natural,NN
PS16_00720,PS14_00527,PS14_00072,PSTOCK16,720,14510,33,2016,2016-08-19T00:00:00Z,M,450,NO,NA,Natural,PSTOCK14,527,1400000848,8,2014,2014-09-02T00:00:00Z,F,430,YES,AFK12B,Hatchery,PSTOCK14,72,1400000824,24,2014,2014-08-30T00:00:00Z,M,425,NO,NA,Natural,HN
PS16_00732,PS14_01326,PS14_00367,PSTOCK16,732,14510,45,2016,2016-08-19T00:00:00Z,M,482,NO,NA,Natural,PSTOCK14,1326,1400000718,4,2014,2014-08-19T00:00:00Z,M,435,NO,NA,Natural,PSTOCK14,367,1400000735,40,2014,2014-08-27T00:00:00Z,F,405,NO,NA,Natural,NN
PS16_00749,PS14_01516,PS14_01339,PSTOCK16,749,14506,14,2016,2016-08-19T00:00:00Z,F,467,NO,NA,Natural,PSTOCK14,1516,1400000827,13,2014,2014-08-30T00:00:00Z,F,405,NO,NA,Natural,PSTOCK14,1339,1400000718,17,2014,2014-08-19T00:00:00Z,M,435,NO,NA,Natural,NN
PS16_00762,PS14_01323,PS14_01064,PSTOCK16,762,14506,27,2016,2016-08-19T00:00:00Z,F,430,NO,NA,Natural,PSTOCK14,1323,1400000718,1,2014,2014-08-19T00:00:00Z,M,470,NO,NA,Natural,PSTOCK14,1064,1400002654,27,2014,2014-08-24T00:00:00Z,F,407,NO,NA,Natural,NN
PS16_00809,PS14_00320,PS14_00311,PSTOCK16,809,15812,26,2016,2016-09-06T00:00:00Z,M,418,NO,NA,Natural,PSTOCK14,320,1400000723,38,2014,2014-08-21T00:00:00Z,F,425,NO,NA,Natural,PSTOCK14,311,1400000723,29,2014,2014-08-21T00:00:00Z,M,395,YES,AFK12B,Hatchery,NH
PS16_00810,PS14_01087,PS14_00537,PSTOCK16,810,15812,27,2016,2016-09-06T00:00:00Z,M,397,NO,NA,Natural,PSTOCK14,1087,1400000732,5,2014,2014-08-26T00:00:00Z,M,410,NO,NA,Natural,PSTOCK14,537,1400000848,18,2014,2014-09-02T00:00:00Z,F,450,YES,AFK12B,Hatchery,HN
PS16_00878,PS14_00798,PS14_00163,PSTOCK16,878,15790,47,2016,2016-09-04T00:00:00Z,F,430,NO,NA,Natural,PSTOCK14,798,1400000828,39,2014,2014-08-30T00:00:00Z,M,470,NO,NA,Natural,PSTOCK14,163,1400000869,10,2014,2014-09-05T00:00:00Z,F,450,NO,NA,Natural,NN
PS16_00890,PS14_01240,PS14_01168,PSTOCK16,890,14478,11,2016,2016-08-11T00:00:00Z,M,NA,NO,NA,Natural,PSTOCK14,1240,1400000825,14,2014,2014-08-30T00:00:00Z,F,400,NO,NA,Natural,PSTOCK14,1168,1400000733,38,2014,2014-08-26T00:00:00Z,M,430,NO,NA,Natural,NN
PS16_00932,PS14_01403,PS14_00081,PSTOCK16,932,14470,5,2016,2016-08-06T00:00:00Z,F,447,NO,NA,Natural,PSTOCK14,1403,1400000736,9,2014,2014-08-27T00:00:00Z,M,410,YES,AFK12B,Hatchery,PSTOCK14,81,1400000824,33,2014,2014-08-30T00:00:00Z,F,455,NO,NA,Natural,NH
PS16_00972,PS14_00458,PS14_00068,PSTOCK16,972,15808,14,2016,2016-09-06T00:00:00Z,F,419,NO,NA,Natural,PSTOCK14,458,1400000871,35,2014,2014-09-05T00:00:00Z,F,445,NO,NA,Natural,PSTOCK14,68,1400000824,20,2014,2014-08-30T00:00:00Z,M,370,NO,NA,Natural,NN
PS16_01038,PS14_01277,PS14_01171,PSTOCK16,1038,15892,32,2016,2016-09-11T00:00:00Z,M,465,NO,NA,Natural,PSTOCK14,1277,1400000826,3,2014,2014-08-30T00:00:00Z,F,440,NO,NA,Natural,PSTOCK14,1171,1400000733,41,2014,2014-08-26T00:00:00Z,M,460,NO,NA,Natural,NN
PS16_01088,PS14_00433,PS14_00001,PSTOCK16,1088,14555,45,2016,2016-08-23T00:00:00Z,F,422,NO,NA,Natural,PSTOCK14,433,1400000871,10,2014,2014-09-05T00:00:00Z,F,NA,YES,CCH12,Hatchery,PSTOCK14,1,1400000829,1,2014,2014-08-30T00:00:00Z,M,460,YES,AFK12B,Hatchery,HH
PS16_01124,PS14_01153,PS14_00318,PSTOCK16,1124,14552,33,2016,2016-08-23T00:00:00Z,M,430,NO,NA,Natural,PSTOCK14,1153,1400000733,23,2014,2014-08-26T00:00:00Z,M,425,NO,NA,Natural,PSTOCK14,318,1400000723,36,2014,2014-08-21T00:00:00Z,F,425,NO,NA,Natural,NN
PS16_01142,PS14_00375,PS14_00208,PSTOCK16,1142,14551,3,2016,2016-08-23T00:00:00Z,M,481,NO,NA,Natural,PSTOCK14,375,1400000735,48,2014,2014-08-27T00:00:00Z,M,390,NO,NA,Natural,PSTOCK14,208,1400000870,7,2014,2014-09-05T00:00:00Z,F,455,YES,AFK12B,Hatchery,HN
